state,model,MSE,MAE,MAPE
California,CovidAnalytics-DELPHI,418125757.5754902,8759.867647058823,109.1450416444052
Colorado,CovidAnalytics-DELPHI,71395.28235294118,152.8156862745098,9.403726522133312
Connecticut,CovidAnalytics-DELPHI,376517.99019607843,270.1921568627451,7.134025153865126
Delaware,CovidAnalytics-DELPHI,19180.50980392157,83.83921568627451,16.72316047323563
Florida,CovidAnalytics-DELPHI,480129648.0656863,9460.957843137254,180.49838876796346
Georgia,CovidAnalytics-DELPHI,32181343.28529412,2564.906862745098,79.06484545939034
Hawaii,CovidAnalytics-DELPHI,148.7294117647059,5.837254901960783,25.070608937390944
Iowa,CovidAnalytics-DELPHI,231463.75098039216,258.1764705882353,37.8993875710597
Idaho,CovidAnalytics-DELPHI,423815.8196078432,266.8156862745098,200.85393503556637
Illinois,CovidAnalytics-DELPHI,465882.94705882354,520.6333333333333,8.532935052641426
Indiana,CovidAnalytics-DELPHI,172092.07156862746,214.9343137254902,8.168441463051627
Kansas,CovidAnalytics-DELPHI,90976.99117647059,177.85196078431375,65.96109786586541
Kentucky,CovidAnalytics-DELPHI,346020.3892156863,245.79705882352943,37.85822552214215
Louisiana,CovidAnalytics-DELPHI,9500619.701960785,1419.327450980392,40.25321046084973
Massachusetts,CovidAnalytics-DELPHI,1302878.8666666667,604.1294117647058,8.722785709365134
Maryland,CovidAnalytics-DELPHI,148651.67941176472,256.05980392156863,8.917501662359324
Maine,CovidAnalytics-DELPHI,2494.504901960784,27.606862745098038,24.888129393118426
Michigan,CovidAnalytics-DELPHI,257148.09705882357,328.23627450980393,5.289729874328871
Minnesota,CovidAnalytics-DELPHI,887025.5892156861,534.1421568627451,40.35482556080057
Missouri,CovidAnalytics-DELPHI,678131.5970588236,387.5186274509804,35.255451108882774
Mississippi,CovidAnalytics-DELPHI,1687481.5970588233,574.5950980392157,42.234817116673426
Montana,CovidAnalytics-DELPHI,7811.963725490196,34.622549019607845,87.12398727063366
North Carolina,CovidAnalytics-DELPHI,28436219.850980394,2442.9254901960785,143.8653357603567
North Dakota,CovidAnalytics-DELPHI,882.2892156862746,13.712745098039216,17.57196780075637
Nebraska,CovidAnalytics-DELPHI,49572.69607843138,123.15490196078433,62.953319780662895
New Hampshire,CovidAnalytics-DELPHI,1517.4500000000003,29.028431372549022,9.705288022343856
New Jersey,CovidAnalytics-DELPHI,1104661.7029411765,659.1186274509803,4.651637535985048
New Mexico,CovidAnalytics-DELPHI,107771.62843137255,150.7637254901961,26.997860282153102
Nevada,CovidAnalytics-DELPHI,3043778.6529411767,751.6176470588235,109.45705176458432
New York,CovidAnalytics-DELPHI,1703759.669607843,988.3460784313725,3.2117219431712227
Ohio,CovidAnalytics-DELPHI,12404837.161764706,1591.6656862745097,51.182713013576574
Oklahoma,CovidAnalytics-DELPHI,782470.7568627452,389.3549019607843,83.19664696325637
Oregon,CovidAnalytics-DELPHI,310462.3911764706,239.96372549019608,89.82170906291606
Pennsylvania,CovidAnalytics-DELPHI,484031.37941176473,475.3676470588236,7.6315733932190675
Rhode Island,CovidAnalytics-DELPHI,6465.790196078432,54.3843137254902,6.845967494004046
South Carolina,CovidAnalytics-DELPHI,8800591.304901961,1317.8186274509803,106.917718414971
South Dakota,CovidAnalytics-DELPHI,4643.74705882353,33.59803921568627,32.854089075163564
Tennessee,CovidAnalytics-DELPHI,19123317.352941178,1865.0196078431375,210.22049045479446
Texas,CovidAnalytics-DELPHI,383525234.1009804,8300.146078431373,188.86411020202718
Utah,CovidAnalytics-DELPHI,2601510.6117647057,690.3784313725491,271.96792452438024
Virginia,CovidAnalytics-DELPHI,1034010.8990196077,545.8950980392157,30.17558498179829
Vermont,CovidAnalytics-DELPHI,14.56764705882353,2.726470588235294,4.947859516718192
