state,model,MSE,MAE,MAPE
Indiana,CovidActNow-SEIR_CAN,15506.915885318336,102.18647393570413,3.8990250232194854
Kansas,CovidActNow-SEIR_CAN,779.9386412719151,19.90165345730008,6.827211250692722
Kentucky,CovidActNow-SEIR_CAN,13891.58373316667,92.60035522262118,15.984397650602125
Louisiana,CovidActNow-SEIR_CAN,7815.362179264553,71.43156213147543,2.1859571381765046
Massachusetts,CovidActNow-SEIR_CAN,23894.81249201086,118.09074028227408,1.4914183446265654
Maryland,CovidActNow-SEIR_CAN,60366.027179617704,168.04996766208401,5.400192046323137
Maine,CovidActNow-SEIR_CAN,120.05113416105564,7.812966174683181,7.4136052017440734
Michigan,CovidActNow-SEIR_CAN,39055.5638767951,146.87170846129027,2.385874090833541
Minnesota,CovidActNow-SEIR_CAN,29896.241216513212,125.78280116948879,8.732581626958709
Missouri,CovidActNow-SEIR_CAN,118521.71347891302,253.6128791680065,23.622889883889805
Mississippi,CovidActNow-SEIR_CAN,7430.297550222576,73.12616485603765,7.055938709810491
Montana,CovidActNow-SEIR_CAN,332.2739642993834,10.103660775445828,41.15205712094421
North Carolina,CovidActNow-SEIR_CAN,25482.957894012274,140.38147710916908,10.005697293128703
North Dakota,CovidActNow-SEIR_CAN,521.4362598348846,16.743252553684123,20.975479639958017
Nebraska,CovidActNow-SEIR_CAN,1510.9338783682877,27.603356620150787,10.786820693875669
New Hampshire,CovidActNow-SEIR_CAN,550.291805786441,20.780569881099613,5.865929918572821
New Jersey,CovidActNow-SEIR_CAN,1102213.7835758342,621.5435137787666,4.129238363823855
New Mexico,CovidActNow-SEIR_CAN,70818.7111296037,106.46299937169269,21.338634590116747
Nevada,CovidActNow-SEIR_CAN,1053127.7203334365,444.82792912801926,83.59459726697968
New York,CovidActNow-SEIR_CAN,245553.10999233447,389.46845352567345,1.2150625458952293
Ohio,CovidActNow-SEIR_CAN,10913.339481581454,83.60252652584616,2.9789186438476274
Oklahoma,CovidActNow-SEIR_CAN,29366.408640170335,94.38429350528348,21.297441523587338
Oregon,CovidActNow-SEIR_CAN,9284.515636990409,67.93887772912794,30.75469827529897
Pennsylvania,CovidActNow-SEIR_CAN,42963.69256373616,154.2842576558787,2.3528095335515387
Rhode Island,CovidActNow-SEIR_CAN,2050.0342092271453,36.82094544478679,4.041222345302961
South Carolina,CovidActNow-SEIR_CAN,84283.54377956019,202.8899623906628,20.977633618700683
South Dakota,CovidActNow-SEIR_CAN,233.14772476243184,11.440502071320191,12.410808050621185
Tennessee,CovidActNow-SEIR_CAN,7342.662620459028,60.88925767222982,8.47830366686882
Texas,CovidActNow-SEIR_CAN,898920.2635122195,506.3512248300435,14.004971467198025
Utah,CovidActNow-SEIR_CAN,42501.60868937869,117.071275060218,62.38400176538082
Virginia,CovidActNow-SEIR_CAN,63224.702930338,182.11254577115824,10.508487832033719
Vermont,CovidActNow-SEIR_CAN,105.66598875366667,6.027745737880776,10.780875608617222
Washington,CovidActNow-SEIR_CAN,5378.894003198284,58.8839921237535,4.3604774385865746
Wisconsin,CovidActNow-SEIR_CAN,14043.585400143882,78.98651671614566,10.325204099688932
West Virginia,CovidActNow-SEIR_CAN,2141.5269326045304,27.594345317925765,28.770151822133567
Wyoming,CovidActNow-SEIR_CAN,6.462666325820388,2.027181420170499,9.712127649132508
US,GT-DeepCOVID,38784149.67339915,4340.421957986112,3.8901317866522427
Alaska,GT-DeepCOVID,239.12831702666662,4.6446275,35.04514584160054
Alabama,GT-DeepCOVID,13108.472931732747,89.9849725,11.338672990083545
Arkansas,GT-DeepCOVID,2161.3255621171593,29.28325643939394,11.243754663415064
Arizona,GT-DeepCOVID,138288.5896704994,283.2381152777777,14.808239316213042
California,GT-DeepCOVID,251737.71510961268,409.18056666666666,7.498044158568516
Colorado,GT-DeepCOVID,15683.826713684393,98.2039847222222,6.460593593437522
Connecticut,GT-DeepCOVID,39475.36979006274,134.1393988095238,3.633025905877928
Delaware,GT-DeepCOVID,4504.256159275,44.05496875,11.341698420465203
Florida,GT-DeepCOVID,132100.3380052575,292.5384666666667,8.884810978630895
Georgia,GT-DeepCOVID,76522.18619904155,194.47329999999997,8.388823915845688
Iowa,GT-DeepCOVID,11164.133016438123,66.74915972222222,11.53490033342537
Idaho,GT-DeepCOVID,92.7305156850758,6.950473484848485,6.240159489502338
Illinois,GT-DeepCOVID,133874.79293218756,300.043311111111,5.1952132040588666
Indiana,GT-DeepCOVID,36997.838715541744,136.85805347222222,6.432551167794762
Kansas,GT-DeepCOVID,676.8647475714585,17.215422916666665,7.039343348397803
Kentucky,GT-DeepCOVID,9727.216362062583,63.83884500000001,12.98670936694865
